date,id,title,content,tag
20071011,20071011-9,我国第四个保税港区在海南洋浦成立,海南洋浦保税港区今天成立，这是继上海洋山、天津东疆、大连大窑湾之后，我国第四个保税港区。海南洋浦保税港区分三期建设，预计2008年10月一期工程完工，正式封关运行。全部建成投产后，将成为我国以石油、化工产品为主的区域性航运和物流中心。保税港区是设立在国家对外开放口岸港区和与之相连的特定区域内，具有口岸、物流、加工等功能的海关特殊监管区域，开放层次高、功能齐全、区位优势明显，享受境外货物入港保税、国内货物进港退税、港区内企业之间的货物交易不征收增值税和消费税等一系列优惠的税收和外汇管理政策。海南洋浦经济开发区管理局局长 丁尚清: (保税港区)从各个方面来降低企业成本，提高企业效率，能够跟国际上通行的(自由港)接轨。,详细全文
20071011,20071011-8,西藏军区某边防团成功规避重大自然灾害,成都军区日前表彰了科学预测，有力防范，成功规避重大自然灾害的西藏军区某边防团。今年8月9日，西藏错那县边境勒乡发生历史上规模最大的泥石流灾害。西藏军区某边防营营长　谷毅:事发当天，迹象非常明显，鸭子在叫，狗在叫，河水上涨、颜色明显发黄，山上石头松动而且有下滑迹象。这一切引起了驻守在娘姆江河畔某边防营官兵的警觉，营长谷毅迅速组织人员对驻地山体、水情进行监控，所有征兆都预示着一场特大自然灾害即将发生。谷毅立即将这一情况上报并根据指示把部队和驻地群众转移到安全地带，3个小时后，地处海拔4700多米的浪措湖决堤，数十万立方米的山洪和泥石流向落差1900多米的娘姆江河倾泻而下，两岸道路、桥梁和部队营房瞬间被毁，但官兵和当地群众却无一伤亡，无一件装备损毁。这期间，边防团各级根据经常演练的15类120多种预案，始终保持命令畅通、分工明确、忙而不乱，对于成功规避这起灾害起到了至关重要的作用。,详细全文
20071011,20071011-7,【道德楷模 文明风尚】单增：诚实做人 诚信兴业,西藏山南地区建筑工程建材工业总公司单(dan)增，从瓦工一直到总经理，不管职务怎么变化，他诚实做人、诚信兴业的信条始终没变。作为总经理，单(dan)增要求公司领导层要“诚”字当头，做到互相支持不争权、互相信任不怀疑、互相尊重不刁难、互相配合不推诿。他在全体员工中普及公民基本道德规范，把诚实守信作为企业发展的生命。2004年，公司承揽的工程建到二层时，发现图纸设计有些不合理，但并不影响楼体的整体质量，单增坚决要求把整个楼拆了重盖，公司为此损失了10多万元；去年公司承建康桑小学的工程中发现所使用的钢筋有问题，单增责令立刻停工改正，并对所有具体施工的单位进行了处罚。对质量的严格要求，维护了企业的信誉，公司的业绩也突飞猛进。单增:一定要把这个企业做大做强，做出品牌。 单增还经常为员工办实事、解难题，在自己并不宽裕的情况下，资助企业特困职工家庭，为他们排忧解难。职工:我们单总上任总经理以来，对待职工就像对待自己的子女一样，关心、支持、爱护。,详细全文
20071011,20071011-6,河北钢铁业：“减”出来的高效益,"今年以来，河北省钢铁行业的“压劣扶优”进程进一步加快，目前全省已累计淘汰落后炼铁、炼钢能力1100多万吨，企业效益却得到大幅攀升。在河北唐山钢铁集团，总投资近3亿元、目前国内设计能力最大的干熄焦二期工程眼下正在加紧建设，工程完工后每小时能处理热焦180吨，减少水耗1000多吨，每年削减烟尘排放量2000多吨，这等于搬掉了唐山市最大的污染源。唐山钢铁股份有限公司董事长 王义芳:今年我们拿出9亿元的资金来进行环保和节能减排这项工作。同时调整我们的产品结构,生产市场上适销对路的(产品),提高了产品的档次,提高了附加值。 通过价格调节等机制，让落后产能退出市场，目前河北省钢铁行业已有19家不达标企业停产，一度攀升的能耗数字也降了下来。今年上半年重点钢铁企业吨钢综合能耗比去年同期下降了近3个百分点，全省规模以上企业万元工业增加值能耗比去年同期下降6.64%，这也是自2002年以来的首次下降。河北省重点钢铁企业吨钢综合能耗--2006年上半年：613.42千克标准煤；2007年上半年：596.15千克标准煤；比去年同期下降2.82%.河北省规模以上企业万元工业增加值能耗——2006年上半年：4.21吨标准煤；2007年上半年：3.91吨标准煤；比去年同期下降6.64%.唐山市发展改革委员会主任 辛志纯:在2007年底要坚决完成200立方米以下高炉和20吨级以下转炉的淘汰，在这个基础上以大项目的建设为龙头，把钢铁行业的产业链做长、把优势做强。",详细全文
20071011,20071011-5,中国北车集团：自主创新装备中国轨道交通,"记者：这是目前正在京沪铁路线上运行的大功率交流传动的货运机车，它也是目前我国技术水平最高的火车头了，它的功率可以达到7200千瓦，也就是说一辆机车在牵引6000吨货物的情况下，它的运行的速度仍然可以达到120公里每小时。中国北方机车车辆工业集团公司 总工程师 奚国华:在这个基础上又在开发9600千瓦的交流传动电力机车,将来可以牵引一万吨，速度还可以跑到120公里，明年底就可以批量投入使用。通过掌握国外的先进技术再进行自主技术的开发，北车集团研制出了我国首列无人驾驶的城轨车，实现了重载火车向发达国家输出零的突破，在中国轨道交通装备上创造了许多个第一。如今，我国铁路线上运行的机车、客车、货车一半以上是由北车制造的。城轨车已经占到国内65%以上的市场份额。",详细全文
20071011,20071011-4,特色农业显效益 金秋农民喜增收,通过推广农业科技与革新经营模式的紧密结合，新疆、内蒙古等地发展起来的特色农业让这个秋天更加绚丽多彩。这两天，新疆哈密的万亩枣园里，红得发紫的大枣缀满枝头。枣农合甫?赛买提说，优质大枣矮化密植和新型稼接技术的采用，使今年红枣的产量、品质都大幅提高，每公斤能卖到120元，是过去的六倍。哈密市陶家宫乡乔麦庄子村亚合甫?赛买提:你看这个枣，一个大概就是30到40克左右，那样子的话嘛，25到30个红枣就是一公斤，一个枣也就是3到4块钱。今年，哈密大枣仅新增面积就能使当农民增收1900多万元。同样红火的还有山东栖霞的苹果，新型无公害生产技术使65万亩果园喜获丰收，品质大幅提升。苹果还没摘下树，海外订单和城里的游客就己纷至沓来，预计今年农民每十元收入中就会有八元来自苹果产业。山东栖霞果农 韩淑晶:现在我们这里的客人越来越多了，这已经是第5拨了。葡萄产地内蒙古乌海的这个秋天是紫色的，在乌达区三道坎的葡萄村，春天下订单的客商早早就来上门收购了，果农们正忙着采摘、装箱、搬运。内蒙古乌海市 果农 王富荣：我种了20年葡萄，今年是销路最好，全部订单定出去了，能产2万多斤，卖了3万块钱。由于种植结构不合理、市场小，乌海葡萄一度砍了种、种了砍，发展艰难。近几年，乌海引进龙头企业，推广订单农业，把一家一户的小片种植发展成了有规划、成体系的规模农业，葡萄产量突破500万公斤，是去年的三倍。在河北泊头，新型农业生产经营模式带给农民的是一个金灿灿的秋天。过去几年，泊壮举鸭梨一度因质量问题受到市场冷遇，出口受限。泊头市为此制定了鸭梨生产标准体系，并引入公司加基地加农户的方式，对梨园实行统一管护，使好果率达到了 85% 以上。河北泊头梨农:从花开到结果，我们要对鸭梨进行 6 道工序，才能使鸭梨达到出口的标准。截止目前，泊头鸭梨己打入30 多个国家和地区，预计今年可创汇7000 多万美元。在安徽黄山，四万亩雪白的黄山贡菊同样丰收在望。为打造绿色生态贡菊品牌，黄山引导菊农实行了绿色生产工艺，并建成40多家标准生产企业，预计今年总产量将超过4000吨，可使菊农增收5000多万元。,详细全文
20151123,20151123-14,国际联播快讯,东盟宣布年底建成东盟共同体第27届东盟领导人峰会22号在吉隆坡闭幕。东盟领导人当天签署了《关于建立东盟共同体的2015吉隆坡宣言》，宣布今年12月31号正式建成以政治安全共同体、经济共同体和社会文化共同体三大支柱为基础的东盟共同体，同时通过了愿景文件《东盟2025：携手前行》，为未来十年的发展指明方向。克里米亚因断电进入紧急状态22号凌晨，乌克兰南部向克里米亚供电的输电线路遭到破坏，克里米亚大部分地区陷入停电状态，约190万居民处于黑暗之中。克里米亚宣布全境进入紧急状态。据俄罗斯官员称，有迹象表明，可能是乌克兰国内的一些民族主义者破坏了输电线路，这是“恐怖主义”行为。克里米亚的电力主要依靠乌克兰供应，自给率只有30%。乌克兰方面已承诺尽快修好损坏的输电线路。,详细全文
20071011,20071011-3,【喜迎十七大 经典中国 辉煌成就】各地加快社区建设 新型社区管理和服务日益健全,近年来，我国通过开展和谐社区创建活动，一大批管理有序、服务完善、环境优美的新型社区相继建立，成为服务和丰富百姓生活的重要载体。 在江苏省昆山市玉山镇的大同社区，每栋居民楼旁都有两个这样的集中晾衣区。昆山市玉山镇大同社区居委会主任 叶金华 :刚刚搬进来的时候，老百姓可能还没有这种(对)整个环境的意识。就是在树的中间，用一些绳啊，反正是些很随便的东西就晾衣服了。大同社区是一个典型的农村新型社区，居民大都由周边村庄迁居而来。面对居民乱晒衣物的不良习惯，社区辟出专门区域出资安装晾衣架，用实实在在的措施来引导居民适应新环境。离开散居村落的农民发现，在社区生活更方便了：卫生所变成了医疗服务站，小卖部变成了大超市，还有功能齐全的便民服务中心和村民活动室。而湖北、安徽、湖南等地则从教育、医疗等问题入手，解决社区居民的实际困难。合肥市今年投资2.4亿元，在一些远郊新社区新建了33所配套学校，4万名学生得以就近上学。在山东平度市的一些社区，为民服务代理点还为居民提供建房审批、合作医疗、养老保险等服务。日趋完备的社区服务让居民生活越来越方便，而在各种社区活动中邻里之间的关系更加融洽了。吉林、天津、重庆等地每年都会定期举办邻居节，在丰富多彩的文化活动中，居民互助互帮的意识更强了。河南、辽宁、福建的一些社区还成立了社区网站，在为居民学习、娱乐提供便利条件的同时，更成为大家反映心声的绿色通道。从2006年开始，我国有251个县(市、区)开始开展农村社区建设实验。截止目前，我国已有城市社区8万多个，社区服务中心8565个，社区服务设施16万个。社区志愿者组织8多万个，人数达2000多万。郑州市上街区区委书记 周春辉:家庭是社会的最基层的细胞，家庭和谐了，社会才能和谐。,详细全文
20151123,20151123-13,布鲁塞尔继续维持最高警戒,比利时首相米歇尔22号晚宣布，首都布鲁塞尔大区23号继续维持最高安全警戒级别。22号，比利时召开国家安全会议决定23号继续关闭布鲁塞尔大区的地铁和学校。比利时全国威胁分析协调机构21号收到类似巴黎恐怖袭击威胁的情报，比利时政府决定提升布鲁塞尔大区安全警戒级别至最高级。作为防范措施之一，布鲁塞尔大区的地铁、体育场、学校和大型商业中心等人群容易聚集的地区暂时关闭。在13号的巴黎系列恐怖袭击事件发生后，嫌疑人之一萨拉赫和两名同伙乘车从巴黎逃往比利时，两名同伙于上周被比利时警方逮捕。22号，比利时警方在首都布鲁塞尔、东部城市列日和南部城市沙勒罗瓦展开了22次反恐突击搜查行动，并抓捕了16名嫌疑人，但萨拉赫仍旧在逃。比利时媒体先前报道说，警方当晚曾发现萨拉赫乘车现身列日市区，但其随后逃脱，可能前往德国方向。,详细全文
20071011,20071011-2,【喜迎十七大 科学发展 促进和谐】数字折射新变化 惠民工程暖民心,民生为本，辽宁、上海、云南、四川、甘肃等地以不折不扣的行动力，踏实推进各项惠民工程，来之不易的数据折射出实实在在的变化。辽宁：8.35万农村饮水特困群众用水不再难辽宁台记者 金玲：这里是辽宁省朝阳市北票地区，随着坤头村水源井水泵的启动，196户农村饮水特殊困难群众，从今天开始将使用上安全放心的水。辽宁朝阳市北票地区坤头村 村民 魏秀萍：(以前)每次取水都要爬5个坡，非常辛苦。现在看见这水哗哗进屋了，心里特敞亮。今天同时启用的262处水源井，让八万多农村饮水特殊困难群众从此用水不再难。上海：46.5亿改造老化供水设施东方卫记者 刘岚：、上海启动二次供水设施改造计划，通过对自来水管的更换和对自来水箱内胆的改造，确保居民能够用上干干净净的自来水。这次改造计划上海市将拿出46.5亿元专项基金，三年内让中心城区的老式楼房全部换上新“器官”。到目前，仅上海静安区，就已经免费为居民改造了1000只屋顶水箱和蓄水池，白铁水管也更换成了新型塑料材质管道。上海静安区居民 张金媛：以前的水是很小的，而且是发黄的，有时候仔细看的话，水里面还有一些小虫。现在改造以后，那个水很大，而且很清、很干净。云南：3000多苦聪人迁出高寒山区异地脱贫记者：我现在在普洱市镇沅县恩乐镇大平掌苦聪人安置点，现在是苦聪人搬进新家的第一个收获季节。云南普洱市镇沅县恩乐镇 村民 范文明:今年我家能收一吨多(玉米)。记者 ：种子是他们发的还是自己买的？范文明:他们发的，恩乐镇农科站拿来发的，化肥也是他们送的，农科站的人亲自来地里辅导的。要安居更要致富，今年，云南镇沅县副科级以上的干部，全部和搬迁下山的苦聪老百姓结成一帮一扶贫对子。农业部门为农户免费提供种子和化肥，教他们科学种植，到目前已经解决了3000人的异地脱贫。四川：1500个农村客运站方便农民出行今天一早，四川眉山河坝子镇农民刘天建坐上班车，去成都看望女儿，117公里的路，不到三个小时就顺利到达。四川眉山河坝子镇 农民 刘天建 :以前我们上成都要走一两天，就是说转车很多。这次我是到成都去玩，看我女儿，带点东西也方便。在大力推进农村公路建设的同时，四川省投入2800多万元用于农村客运建设，到目前，已建成农村客运站1500个，全省所有乡镇都通了客运班车。甘肃：劳务收入占农民人均纯收入40%以上五口人五亩地，辛苦一年只能糊口，甘肃华亭县西华镇村民张小爱一家多年来日子过得紧巴巴，去年他们夫妻俩在乡里的组织下外出打工。甘肃华亭县西华镇 村民 张小爱:一年就靠出去打工收入3万多元，今年修了这几间房，剩下的钱准备供孩子上大学。甘肃华亭县 副县长 于宏勤:我们把劳务输出作为农民增收富民的一把手工程，通过强化培训、就地输转、定单输转相结合的办法，实现了户均输出一人的目标。今年前三个季度，甘肃省共输出富余劳动力569万人次，劳务收入已经占到农民人均纯收入的四成以上。,详细全文
